epoch,train_loss,val_loss,val_dice,learning_rate
1,3.9113341710146736,1.576563286781311,0.20092297494411468,0.0001
2,2.221048828433542,1.3269106149673462,0.27936875224113467,0.0001
3,1.5004681804600883,1.6463355541229248,0.23458838164806367,0.0001
4,1.264648577746223,1.7415624141693116,0.22201744019985198,0.0001
5,1.2741112183122074,1.5747793912887573,0.2629541039466858,0.0001
6,1.180692700778737,1.671161413192749,0.25393552184104917,0.0001
7,1.2182075416340548,1.5295636892318725,0.3171774744987488,0.0001
8,1.1139557010987227,1.5584148645401001,0.3237299621105194,0.0001
9,1.0945129359469694,1.479659867286682,0.2945377558469772,0.0001
10,1.1194132846944473,1.3949454069137572,0.3168707132339478,5e-05
