epoch,sup_loss,cons_loss,val_loss,val_dice
1,1.5937986303778255,0.032438532942358184,1.805986189842224,0.035603123158216475
2,1.3801341337316178,0.036169358255232084,1.9699365139007567,0.18555864691734314
3,1.4079872439889347,0.03536963298478547,1.8921769380569458,0.17737376391887666
4,1.325535023913664,0.03258227392592851,2.015297198295593,0.18201198279857636
5,1.3443752667483162,0.03505013926940806,2.221452307701111,0.11669098362326621
6,1.2063205031787647,0.03655824503477882,1.7720360040664673,0.24465785324573516
7,1.2278015298001907,0.031758230179548264,1.8594628810882567,0.20208750963211058
8,1.1755486481329973,0.0348377932301339,1.9114059209823608,0.23170909881591797
9,1.1864665396073286,0.03260384543853648,1.8030924558639527,0.2548456758260727
10,1.160104257218978,0.03536963616223896,1.6144091367721558,0.30621080100536346
