epoch,train_loss,val_loss,val_dice,learning_rate
1,4.359758713666131,5.437001705169678,0.18604758381843567,0.0001
2,0.8230564567972632,8.531164169311523,0.18927302956581116,0.0001
3,0.05479798246832455,8.296333312988281,0.03692631796002388,0.0001
4,0.008497044827569933,7.173772811889648,0.1323593705892563,5e-05
5,0.004589358865119079,2.419670343399048,0.7412059307098389,5e-05
6,0.0037127295645939954,0.061288297176361084,0.9956769943237305,5e-05
7,0.003163647824240958,0.0036363208200782537,1.0,5e-05
8,0.0027837133829427116,0.0026650510262697935,1.0,5e-05
9,0.0024949180729248945,0.00237647769972682,1.0,5e-05
10,0.0022602369597948648,0.0021620485931634903,1.0,5e-05
