epoch,train_loss,val_loss,val_dice,learning_rate
1,8.371542930603027,1.188609004020691,0.7731114625930786,0.0001
2,8.615223407745361,1.1867542266845703,0.6568343639373779,0.0001
3,7.638576984405518,1.381617546081543,0.47967854142189026,0.0001
4,6.428572654724121,1.905220866203308,0.139460489153862,0.0001
5,4.836796522140503,2.8243331909179688,0.051559217274188995,0.0001
6,3.7311651706695557,3.5811586380004883,0.008043757639825344,0.0001
7,2.9559026956558228,3.963674306869507,0.004165352322161198,0.0001
8,2.5827897787094116,3.9971702098846436,0.002947379369288683,0.0001
9,2.187313199043274,3.2131428718566895,0.014072634279727936,0.0001
10,1.8462664484977722,2.7165701389312744,0.06170501559972763,5e-05
11,1.6789368391036987,2.7610645294189453,0.052289482206106186,5e-05
12,1.5300025343894958,2.6706998348236084,0.057245902717113495,5e-05
13,1.3400949239730835,2.4653453826904297,0.04185663163661957,5e-05
14,1.4149260520935059,2.332043409347534,0.06307501345872879,5e-05
15,1.3994464874267578,2.207257032394409,0.08664855360984802,5e-05
16,1.309300720691681,2.2290008068084717,0.08510733395814896,5e-05
17,1.2232664227485657,2.1534197330474854,0.09979236125946045,5e-05
18,1.3112863302230835,2.2676680088043213,0.05887032300233841,5e-05
19,1.2918654680252075,2.1862666606903076,0.06482235342264175,5e-05
20,1.1296234130859375,2.329336166381836,0.045929133892059326,2.5e-05
21,1.2572757601737976,2.6650516986846924,0.03387958183884621,2.5e-05
22,1.2042692303657532,2.763362407684326,0.036428302526474,2.5e-05
23,1.143801748752594,2.6705873012542725,0.026867613196372986,2.5e-05
24,1.1203733086585999,2.695204496383667,0.026795249432325363,2.5e-05
25,1.2495906949043274,2.8689916133880615,0.023618046194314957,2.5e-05
26,1.1697787642478943,3.1835551261901855,0.024096926674246788,2.5e-05
27,1.140790045261383,3.1290383338928223,0.02308533899486065,2.5e-05
28,1.1576651334762573,2.9867987632751465,0.02327653579413891,2.5e-05
29,1.277955174446106,3.1950175762176514,0.015242447145283222,2.5e-05
30,1.0827038288116455,2.7410638332366943,0.043638456612825394,1.25e-05
