epoch,sup_loss,cons_loss,val_loss,val_dice,lambda_w
1,1.504961171570946,0.041560385047512895,1.674286127090454,0.09464770704507827,0.1
2,1.3528204069418066,0.053604490835877025,1.9161608219146729,0.18068381845951081,0.2
3,1.272830325014451,0.05318712859469302,2.0676302909851074,0.1797216147184372,0.3
4,1.3339284728555119,0.05185031518340111,1.726904535293579,0.24858072996139527,0.4
5,1.2386450171470642,0.05329126207267537,1.8159621000289916,0.23182337880134582,0.5
6,1.212189330774195,0.05074997312005829,1.907955241203308,0.19588063657283783,0.5
7,1.1840003974297468,0.04494254685500089,1.6445825338363647,0.27120294868946077,0.5
8,1.1920463372679317,0.039850888883366305,1.685252022743225,0.22416119873523713,0.5
9,1.2181440311319687,0.03923700618393281,1.4627577304840087,0.39791019558906554,0.5
10,1.195874249233919,0.03810040674665395,1.7180234432220458,0.26132831871509554,0.5
