epoch,sup_loss,cons_loss,lambda_weight,val_loss,val_dice
1,1.5730736466015087,0.03506507910788059,0.1,1.7337679147720337,0.11668596938252448
2,1.3896390480153702,0.03750573032919098,0.2,2.245920944213867,0.12523239850997925
3,1.3710004441878374,0.033871226450976205,0.3,2.261194133758545,0.136428402364254
4,1.3740760123028475,0.029735401382341105,0.4,2.0268375396728517,0.17796946167945862
5,1.3106543456806856,0.026562939014504936,0.5,2.3456231355667114,0.16075494289398193
6,1.2546329182737015,0.03214727342128754,0.5,1.9764979839324952,0.2129302829504013
7,1.1902570654364193,0.02943636170204948,0.5,2.2463809967041017,0.16544034630060195
8,1.1770838148453657,0.029762974337619895,0.5,2.0699466943740843,0.20359723567962645
9,1.157468623974744,0.024607103975380167,0.5,2.0291222095489503,0.22867414653301238
10,1.1962794906952803,0.02785417897736325,0.5,1.4865129470825196,0.3821532309055328
