epoch,sup_loss,cons_loss,val_loss,val_dice
1,1.492540931000429,0.04028121968183447,1.6807257890701295,0.05239593982696533
2,1.3711163892465479,0.04263842785183121,2.0093656301498415,0.19416701197624206
3,1.3118469259318184,0.038585643777075934,2.055744981765747,0.16778492033481598
4,1.3646211764391731,0.032259050756692886,1.7946659326553345,0.2403784453868866
5,1.2958982902414657,0.034853882868500316,1.7702177524566651,0.22624014914035798
6,1.3271108865737915,0.032197424813228494,1.9487504959106445,0.21457576751708984
7,1.2497676996623768,0.03164377063512802,1.6079269647598267,0.2962538510560989
8,1.240596890449524,0.03071174113189473,1.8284324407577515,0.24453343451023102
9,1.2223858061958761,0.03342334816561026,2.020051288604736,0.1815994679927826
10,1.17257163103889,0.030448411755702075,1.505520272254944,0.3752324998378754
