epoch,train_loss,val_loss,val_dice,learning_rate
1,5.564453029632569,1.6611394882202148,0.006121331360191107,1e-05
2,5.4285080909729,2.4791964888572693,0.00832676375284791,1e-05
3,4.860840892791748,3.4638969898223877,0.0083430134691298,1e-05
4,4.061867523193359,4.027536153793335,0.005571653600782156,1e-05
5,3.8751755237579344,5.016754984855652,0.004354118602350354,1e-05
6,3.4619970321655273,5.907313823699951,0.003800623642746359,1e-05
7,3.1493919849395753,6.758352756500244,0.006222304655238986,1e-05
8,3.030346727371216,6.850855827331543,0.007855194387957454,1e-05
9,2.880277156829834,7.017060041427612,0.010652084834873676,1e-05
10,2.6204200744628907,6.663592100143433,0.02294664829969406,5e-06
11,2.7304965019226075,6.204982757568359,0.03251896146684885,5e-06
12,2.548119401931763,5.833444118499756,0.052834849804639816,5e-06
13,2.3921104192733766,4.672682404518127,0.10100045055150986,5e-06
14,2.5016125679016112,3.557267665863037,0.2007490172982216,5e-06
15,2.3919196128845215,3.9568116664886475,0.21482663601636887,5e-06
16,2.269997763633728,5.0329859256744385,0.2330731600522995,5e-06
17,2.123391795158386,5.343267202377319,0.27031148970127106,5e-06
18,2.0474812030792235,4.143025517463684,0.312668576836586,5e-06
19,2.1343245983123778,7.1322338581085205,0.24552152305841446,5e-06
20,2.0353060007095336,6.9981701374053955,0.2455476075410843,2.5e-06
21,1.9190423965454102,8.541089057922363,0.2367793396115303,2.5e-06
22,1.9169618844985963,6.123927593231201,0.2638019695878029,2.5e-06
23,1.9683260917663574,8.773844003677368,0.22921980172395706,2.5e-06
24,2.3795984745025636,7.793753385543823,0.2456652671098709,2.5e-06
25,2.136258029937744,6.927424669265747,0.2839609533548355,2.5e-06
26,2.194214105606079,6.902347087860107,0.32912226021289825,2.5e-06
27,2.223339891433716,6.964286804199219,0.27562326937913895,2.5e-06
28,2.2016756534576416,5.696059703826904,0.2684547156095505,2.5e-06
29,1.7845625638961793,8.742642164230347,0.22556514292955399,2.5e-06
30,1.8876708269119262,7.971400260925293,0.22901543974876404,1.25e-06
